Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,GID_2,GID_2_NAME,GID_3,GID_3_NAME,GID_4,GID_4_NAME,FullAddress,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,ActiveObservers,VisitedPollingStations
10 - გლდანი,1,"","","",გლდანი-1,,,,,,,,,,,"10 - გლდანი,1,გლდანი-1",1,2,11,1,252,10,1,1,1,1,1
10 - გლდანი,10,"","","",გლდანი-10,,,,,,,,,,,"10 - გლდანი,10,გლდანი-10",1,0,11,1,126,1,1,0,1,1,1
10 - გლდანი,11,"","","",გლდანი-11,,,,,,,,,,,"10 - გლდანი,11,გლდანი-11",1,3,11,1,378,3,1,1,1,1,1
10 - გლდანი,12,"","","",გლდანი-12,,,,,,,,,,,"10 - გლდანი,12,გლდანი-12",1,6,10,1,750,12,1,1,1,1,1
10 - გლდანი,13,"","","",გლდანი-13,,,,,,,,,,,"10 - გლდანი,13,გლდანი-13",1,2,11,1,252,6,1,1,1,1,1
10 - გლდანი,14,"","","",გლდანი-14,,,,,,,,,,,"10 - გლდანი,14,გლდანი-14",1,7,11,1,882,14,1,1,1,1,1
10 - გლდანი,15,"","","",გლდანი-15,,,,,,,,,,,"10 - გლდანი,15,გლდანი-15",1,0,11,0,127,3,1,0,0,1,1
10 - გლდანი,16,"","","",გლდანი-16,,,,,,,,,,,"10 - გლდანი,16,გლდანი-16",1,0,11,0,126,1,1,0,0,1,1
10 - გლდანი,17,"","","",გლდანი-17,,,,,,,,,,,"10 - გლდანი,17,გლდანი-17",1,7,11,1,889,21,1,1,1,1,1
10 - გლდანი,18,"","","",გლდანი-18,,,,,,,,,,,"10 - გლდანი,18,გლდანი-18",1,9,11,1,1143,54,1,1,1,1,1
10 - გლდანი,19,"","","",გლდანი-19,,,,,,,,,,,"10 - გლდანი,19,გლდანი-19",1,0,7,0,43,0,1,0,0,1,1
10 - გლდანი,2,"","","",გლდანი-2,,,,,,,,,,,"10 - გლდანი,2,გლდანი-2",1,1,22,0,206,2,2,1,0,2,1
10 - გლდანი,20,"","","",გლდანი-20,,,,,,,,,,,"10 - გლდანი,20,გლდანი-20",1,1,16,1,160,7,2,1,1,2,1
10 - გლდანი,21,"","","",გლდანი-21,,,,,,,,,,,"10 - გლდანი,21,გლდანი-21",1,6,16,0,852,18,2,1,0,2,1
10 - გლდანი,22,"","","",გლდანი-22,,,,,,,,,,,"10 - გლდანი,22,გლდანი-22",1,0,6,0,36,0,1,0,0,1,1
10 - გლდანი,23,"","","",გლდანი-23,,,,,,,,,,,"10 - გლდანი,23,გლდანი-23",1,0,5,0,65,0,1,0,0,1,1
10 - გლდანი,24,"","","",გლდანი-24,,,,,,,,,,,"10 - გლდანი,24,გლდანი-24",1,0,11,1,126,0,1,0,1,1,1
10 - გლდანი,25,"","","",გლდანი-25,,,,,,,,,,,"10 - გლდანი,25,გლდანი-25",1,6,11,1,756,18,1,1,1,1,1
10 - გლდანი,26,"","","",გლდანი-26,,,,,,,,,,,"10 - გლდანი,26,გლდანი-26",1,8,11,1,1024,32,1,1,1,1,1
10 - გლდანი,27,"","","",გლდანი-27,,,,,,,,,,,"10 - გლდანი,27,გლდანი-27",1,1,16,0,161,4,2,1,0,2,1
10 - გლდანი,28,"","","",გლდანი-28,,,,,,,,,,,"10 - გლდანი,28,გლდანი-28",1,4,20,1,684,4,3,1,1,3,1
10 - გლდანი,29,"","","",გლდანი-29,,,,,,,,,,,"10 - გლდანი,29,გლდანი-29",1,4,11,0,508,16,1,1,0,1,1
10 - გლდანი,3,"","","",გლდანი-3,,,,,,,,,,,"10 - გლდანი,3,გლდანი-3",1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,30,"","","",გლდანი-30,,,,,,,,,,,"10 - გლდანი,30,გლდანი-30",1,0,11,0,126,0,1,0,0,1,1
10 - გლდანი,31,"","","",გლდანი-31,,,,,,,,,,,"10 - გლდანი,31,გლდანი-31",1,6,13,1,786,0,2,1,1,2,1
10 - გლდანი,32,"","","",გლდანი-32,,,,,,,,,,,"10 - გლდანი,32,გლდანი-32",1,2,14,1,252,0,2,1,1,2,1
10 - გლდანი,33,"","","",გლდანი-33,,,,,,,,,,,"10 - გლდანი,33,გლდანი-33",1,0,11,1,126,2,1,0,1,1,1
10 - გლდანი,34,"","","",გლდანი-34,,,,,,,,,,,"10 - გლდანი,34,გლდანი-34",1,0,11,1,126,1,1,0,1,1,1
10 - გლდანი,35,"","","",გლდანი-35,,,,,,,,,,,"10 - გლდანი,35,გლდანი-35",1,1,9,0,100,4,1,1,0,1,1
10 - გლდანი,36,"","","",გლდანი-36,,,,,,,,,,,"10 - გლდანი,36,გლდანი-36",1,0,9,0,100,1,1,0,0,1,1
10 - გლდანი,37,"","","",გლდანი-37,,,,,,,,,,,"10 - გლდანი,37,გლდანი-37",1,7,11,1,882,7,1,1,1,1,1
10 - გლდანი,38,"","","",გლდანი-38,,,,,,,,,,,"10 - გლდანი,38,გლდანი-38",1,3,11,1,378,9,1,1,1,1,1
10 - გლდანი,39,"","","",გლდანი-39,,,,,,,,,,,"10 - გლდანი,39,გლდანი-39",1,17,11,1,2142,34,1,1,1,1,1
10 - გლდანი,4,"","","",გლდანი-4,,,,,,,,,,,"10 - გლდანი,4,გლდანი-4",1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,40,"","","",გლდანი-40,,,,,,,,,,,"10 - გლდანი,40,გლდანი-40",1,0,3,0,26,0,1,0,0,1,1
10 - გლდანი,41,"","","",გლდანი-41,,,,,,,,,,,"10 - გლდანი,41,გლდანი-41",1,1,20,1,238,3,2,1,1,2,1
10 - გლდანი,42,"","","",გლდანი-42,,,,,,,,,,,"10 - გლდანი,42,გლდანი-42",1,1,11,1,126,3,1,1,1,1,1
10 - გლდანი,43,"","","",გლდანი-43,,,,,,,,,,,"10 - გლდანი,43,გლდანი-43",1,2,11,0,252,6,1,1,0,1,1
10 - გლდანი,44,"","","",გლდანი-44,,,,,,,,,,,"10 - გლდანი,44,გლდანი-44",1,6,22,1,1524,12,2,2,1,2,1
10 - გლდანი,45,"","","",გლდანი-45,,,,,,,,,,,"10 - გლდანი,45,გლდანი-45",1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,46,"","","",გლდანი-46,,,,,,,,,,,"10 - გლდანი,46,გლდანი-46",1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,47,"","","",გლდანი-47,,,,,,,,,,,"10 - გლდანი,47,გლდანი-47",1,2,11,1,254,0,1,1,1,1,1
10 - გლდანი,48,"","","",გლდანი-48,,,,,,,,,,,"10 - გლდანი,48,გლდანი-48",1,3,10,1,354,6,1,1,1,1,1
10 - გლდანი,49,"","","",გლდანი-49,,,,,,,,,,,"10 - გლდანი,49,გლდანი-49",1,4,11,1,508,8,1,1,1,1,1
10 - გლდანი,5,"","","",გლდანი-5,,,,,,,,,,,"10 - გლდანი,5,გლდანი-5",1,4,11,0,508,4,1,1,0,1,1
10 - გლდანი,50,"","","",გლდანი-50,,,,,,,,,,,"10 - გლდანი,50,გლდანი-50",1,11,11,1,1386,66,1,1,1,1,1
10 - გლდანი,51,"","","",გლდანი-51,,,,,,,,,,,"10 - გლდანი,51,გლდანი-51",1,5,11,0,630,0,1,1,0,1,1
10 - გლდანი,52,"","","",გლდანი-52,,,,,,,,,,,"10 - გლდანი,52,გლდანი-52",1,0,0,1,0,0,0,0,1,1,1
10 - გლდანი,53,"","","",გლდანი-53,,,,,,,,,,,"10 - გლდანი,53,გლდანი-53",1,0,6,0,73,0,1,0,0,1,1
10 - გლდანი,54,"","","",გლდანი-54,,,,,,,,,,,"10 - გლდანი,54,გლდანი-54",1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,55,"","","",გლდანი-55,,,,,,,,,,,"10 - გლდანი,55,გლდანი-55",1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,56,"","","",გლდანი-56,,,,,,,,,,,"10 - გლდანი,56,გლდანი-56",1,0,11,0,126,3,1,0,0,1,1
10 - გლდანი,57,"","","",გლდანი-57,,,,,,,,,,,"10 - გლდანი,57,გლდანი-57",1,0,5,0,20,0,1,0,0,1,1
10 - გლდანი,58,"","","",გლდანი-58,,,,,,,,,,,"10 - გლდანი,58,გლდანი-58",1,11,12,1,1606,55,2,1,1,2,1
10 - გლდანი,59,"","","",გლდანი-59,,,,,,,,,,,"10 - გლდანი,59,გლდანი-59",1,0,11,1,127,2,1,0,1,1,1
10 - გლდანი,6,"","","",გლდანი-6,,,,,,,,,,,"10 - გლდანი,6,გლდანი-6",1,0,2,0,16,0,1,0,0,1,1
10 - გლდანი,60,"","","",გლდანი-60,,,,,,,,,,,"10 - გლდანი,60,გლდანი-60",1,1,12,1,145,31,2,1,1,2,1
10 - გლდანი,61,"","","",გლდანი-61,,,,,,,,,,,"10 - გლდანი,61,გლდანი-61",1,12,11,1,1512,12,1,1,1,1,1
10 - გლდანი,62,"","","",გლდანი-62,,,,,,,,,,,"10 - გლდანი,62,გლდანი-62",1,7,11,0,882,21,1,1,0,1,1
